State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.657569912059272	0.09458057493842602	0.026678903191551567	0.0	0.004020867021210969	2.776977805433998E-4	3.178958811491375E-4	0.19075879652805627	0.012311907125834902	0.00854921451339771	0.0	0.0	0.004934230960558132	0.0	0.0
2	0.18185670515380067	0.5890522176096582	0.024799144186206608	4.2950893666813476E-4	0.03995072152066346	0.003811087982144571	0.0	0.018340318254393428	0.08856366657005048	0.02120841742288896	0.013820022377033506	6.55621069966003E-4	0.006314868920977874	0.011197699995548205	0.0
3	0.11645239611754499	0.05686910032744521	0.3966907389349492	0.0073587675773502306	0.2668832564525131	0.04247153541597291	0.04866217774434553	0.044080092884974234	0.005514590092753718	0.012800117598722054	0.0	0.0	0.0022172268534287635	0.0	0.0
4	0.0	0.005238267785142183	0.022730822560961546	0.6855085704470173	0.12652442813244918	0.04089590476578778	1.2063616594896798E-8	0.0	0.0	0.10219195403892739	0.0	0.009456542730746944	0.007453497475351195	0.0	0.0
5	0.004387906287942802	0.024945457114482244	0.07595610839364131	0.013783839104082518	0.7628050962908338	0.0970191968229908	0.01204565876169025	0.0030312017162025112	0.003562257018769815	8.097632670462044E-7	6.727855159503752E-4	0.0	7.640129655068393E-4	0.001025670244639725	0.0
6	6.82543794310016E-4	0.004128079430405366	0.02043596646498756	0.007478794501978199	0.16720359135331658	0.5561341759749178	0.077717221262861	0.0492766715017403	0.04846187168824747	0.006671053457286303	0.011534585694801577	8.547216518131402E-4	0.001957879336301774	0.02843454525158316	0.019028298635449883
7	0.0018971578884499328	0.0	0.08069135737428076	0.0	0.05785460344815468	0.242369460016461	0.27680405641085415	0.2139334932990138	0.033316620537253844	0.029642508363780386	0.017792339640138176	5.928236630405091E-4	0.0019642580128602176	0.0030626713266038398	0.04007865001910866
8	0.04968099908139763	0.002602662735775972	0.0029270119639215122	0.0	5.245706894503907E-4	0.0057605003881891	0.007401157767732398	0.7393156857811307	0.1710842533716375	0.0045281839339397145	0.01037832308237346	5.9125216070257615E-6	2.563113717526093E-4	2.427686237615156E-7	0.005534184542468264
9	3.751492904501406E-4	0.0015593684861256746	4.291621421185439E-5	0.0	1.4742552047639025E-4	6.890624014472591E-4	2.2156783157066716E-4	0.02256026325045722	0.9659821386866799	0.0	0.001996585776669953	0.0	0.0029059318103244287	9.236172549760119E-4	0.002595973476610428
10	0.012757538991044644	0.015624922521901067	0.004609021520631829	0.013849634051875169	0.0	0.003927024767774061	0.005317227256805941	0.02238736243600463	0.0	0.7426395574322842	0.09169856361522766	0.08634628177929067	8.428656271601917E-4	0.0	0.0
11	0.0	8.2222987370329E-4	0.0	0.0	0.0	5.61188504575517E-4	2.472126368074757E-4	0.003999973278354438	0.005830024638592642	0.005921237206801084	0.9707154948457412	0.010845254992641709	0.0010573840227825993	0.0	0.0
12	0.0	1.3622080031999226E-4	1.8835372176290754E-5	3.0708035461753374E-4	0.0	8.28061396248668E-5	7.3879860739588676E-6	1.175182287263611E-6	0.0	0.016457492534684245	0.032122764769711924	0.9494234468931169	0.001442789967387155	0.0	0.0
13	0.006983702060522265	0.0030087965711939986	4.0634663630326857E-4	9.426057977620999E-4	8.249628653027315E-4	7.683172055971559E-4	3.1315514831115884E-4	8.986718293040799E-4	0.09375051156511502	7.253955995852136E-4	0.014415335629056709	0.005494287966202173	0.8644334726187255	0.003835147465349144	0.0031992910416694074
14	0.0	6.144560282867641E-5	0.0	0.0	2.645990793919952E-6	1.3210763024927306E-4	4.334103377819273E-6	0.0	2.669732741768785E-4	0.0	0.0	0.0	2.3277147057158203E-5	0.999091498341251	4.1771791026525956E-4
15	0.0	0.0	0.0	0.0	0.0	4.918989796342195E-4	3.3372472497640994E-4	0.0010458979666833326	0.004313093017025582	0.0	0.0	0.0	0.0	0.0023695489565714834	0.9914458363551091
